:			Group	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary																										
Blue	Dot	Bichiktu_Boom_XV 	TR	0.1413	-0.35657	0.035781	-0.14736	0.14844	-0.18828	-0.069784	0.077749	0.012623	-0.10153	0.063022	0.045058	-0.086824	0.049327	0.071324	0.011121	0.028262	-0.035446	-0.082455	-0.083134	0.1235	0.027367	0.041242	-0.030183	0.042516	-0.023483	0.0054014	-0.01739	0.0022815	0.11229	0.060611	0.032675	0.076756	-0.29672	-0.18101	-0.11503	-0.062138	0.11735	-0.018176	0.013169	0.088232	0.13362	-0.0018843	0.12292	0.079976	0.093757	-0.19608	0.11479	0.046899	-0.027774	-0.31454	0.044478	-0.059484	0.013011	
Blue	Dot	Bichiktu_Boom_III	TR	0.26385	-0.33038	-0.032903	-0.010072	-0.062118	-0.074533	0.067623	0.27033	-0.0035163	-0.051263	-0.0072868	0.018643	-0.068421	-0.056905	-0.0044503	-0.043003	-0.022525	-0.056952	0.042732	-0.024179	-0.060544	0.10611	0.033722	-0.019327	-0.057996	0.006058	0.062086	-0.0017046	0.0084735	0.14994	0.3887	-0.17803	0.03003	-0.03664	0.1918	0.12896	-0.077661	0.069861	-0.063423	-0.16491	-0.1838	0.13362	-0.0018843	-0.06906	-0.043207	0.042173	-0.021173	0.041816	-0.011632	0.041691	-0.15894	0.055498	-0.11153	0.1078	
Blue	Dot	Mendur-Sokkon_I  	TR	0.22769	-0.33239	-0.0371	-0.086022	0.072963	-0.11811	0.020315	0.087477	-0.039423	-0.038222	0.041489	0.085073	-0.10841	-0.011217	-0.058598	0.063828	-0.043109	-0.15126	-0.017572	0.017455	-0.020612	-0.043965	-0.034611	-0.022829	0.019127	0.025628	-0.051021	0.0060847	-0.010467	0.067279	-0.021983	0.16372	0.11735	0.15234	-0.060672	0.052762	-0.085857	0.0684	0.10219	-0.085309	0.035208	0.13362	-0.0018843	0.039001	-0.043467	-0.12909	0.22672	-0.10344	0.095272	0.16648	0.28365	-0.052227	0.068841	0.0010857	
Blue	Dot	Kurgak_I         	TR	0.28201	-0.35325	0.009306	0.031097	0.071963	-0.028133	0.066948	-0.14524	-0.066084	-0.038331	-0.0047982	0.068728	-0.0023946	0.04282	-0.063065	0.074263	0.0054693	-0.011868	-0.018477	0.04524	-0.046439	-0.039784	0.0082525	0.052116	-0.01118	0.0061829	0.046871	-0.022012	0.018954	0.10468	0.14072	0.040851	-0.27198	0.16737	0.067408	0.18648	-0.030711	0.24167	0.17954	-0.11974	0.05938	0.13362	-0.0018843	-0.043607	-0.15057	-0.047564	-0.20417	-0.026953	-0.25872	-0.086405	0.038481	0.2126	0.059921	-0.11097	
Blue	Dot	Urkosh           	TR	0.27167	-0.22899	0.1362	0.13897	0.1365	0.040701	0.23959	0.0023938	-0.13733	0.068314	-0.060298	-0.096318	0.0044178	-0.098129	-0.039272	0.099757	0.021098	-0.042702	0.025931	-0.04053	0.056838	-0.0054713	0.045574	-0.057488	-0.01509	-0.047745	0.026868	-0.0017808	-0.0045657	-0.029159	0.093611	-0.203	0.23865	-0.0574	-0.0026372	0.062745	-0.041371	0.038965	0.041893	0.27332	0.020552	0.13362	-0.0018843	-0.22018	0.13097	0.17669	0.12652	-0.045702	-0.022361	-0.089476	0.25758	-0.15461	-0.047049	-0.12365	
Blue	Dot	Tuva_III         	TR	0.21441	-0.3075	-0.047432	-0.12673	0.038531	-0.11506	-0.11767	-0.074766	0.040646	-0.025291	0.078205	0.075896	-0.03331	0.027322	0.096844	0.0070022	-0.093853	0.1141	0.079119	-0.0072508	0.027127	0.016941	-0.11894	-0.0067999	0.034269	-0.014399	0.019018	0.0093609	0.0017821	0.017262	-0.067318	0.21457	-0.3418	0.044913	0.33655	0.017441	0.092838	-0.027843	0.10682	0.2741	-0.22654	0.13362	-0.0018843	-0.049087	0.038996	0.14868	0.1275	0.029112	0.037496	-0.041108	-0.0071457	0.0053403	-0.059835	0.0021729	
Blue	Dot	Zhon_Aryk        	TR	0.19923	-0.29723	0.01689	-0.044156	0.067754	0.1259	0.00050089	-0.14484	-0.10778	0.03679	0.043829	-0.043427	-0.032806	0.14471	-0.11314	-0.0015543	0.11128	0.061609	-0.086537	-0.041505	-0.076752	0.049735	-0.04326	-0.023578	0.043515	0.043387	0.013669	0.034864	-0.0012402	-0.31032	0.31134	0.0452	0.08051	0.21403	-0.16952	-0.073879	-0.085618	0.10126	-0.093669	0.18716	-0.093665	0.13362	-0.0018843	0.11014	0.16557	0.046191	-0.0097142	-0.023007	0.082835	0.091227	-0.064597	-0.0025137	-0.0013778	0.035088	
Lightgreen	Fill diamond	Vargyas          	SHR	0.041524	0.3354	0.38531	0.068523	0.2125	0.091269	-0.085416	0.072461	-0.06233	-0.14309	0.10889	0.10792	-0.035066	-0.052094	0.063317	-0.03	0.057519	0.013398	0.01588	0.0093695	0.0081161	-0.015268	0.007717	-0.054805	0.020789	0.021515	0.0063334	0.00019772	0.00012032	-0.039274	0.057246	0.095101	-0.19755	0.14802	-0.0039359	-0.17354	-0.066507	0.047074	-0.037818	0.12505	0.090654	0.13362	-0.0018843	-0.051481	0.040583	-0.30914	0.097445	-0.26497	-0.22541	0.17238	-0.13259	-0.36178	-0.089329	0.019986	
Lightgreen	Fill diamond	Homorodkaracsonyf	SHR	0.10455	0.20597	0.37788	0.15032	0.18942	-0.072317	-0.21936	0.084553	-0.0089449	0.075965	0.12098	-0.158	-0.066697	0.1092	-0.025205	-0.030922	-0.023562	-0.0036459	0.087382	-0.0173	0.063733	-0.046749	0.11706	0.056024	0.015382	0.0030743	-0.0052437	0.012382	-0.0019804	-0.28029	0.052275	-0.097534	-0.070974	-0.054055	0.027301	0.095725	0.079792	-0.10234	0.17298	-0.06196	-0.10123	0.13362	-0.0018843	0.071295	0.21507	0.12374	-0.17773	0.13444	0.034297	0.051211	0.12297	0.32228	0.050638	0.095899	
Lightgreen	Fill diamond	Erdoszentgyorgy  	SHR	0.20779	-0.04764	0.21999	0.23092	-0.11612	0.069274	-0.19156	0.31553	0.11603	0.055125	-0.014827	-0.17132	-0.038999	0.15559	-0.11534	0.055073	-0.10463	0.1195	-0.048722	0.051041	0.02574	0.01617	-0.024138	0.05602	0.0050345	-0.018168	-0.00082068	-0.0038258	-0.0039209	0.095019	-0.075018	0.10674	0.13815	-0.027618	-0.0075063	-0.019716	-0.066721	0.054301	-0.031283	-0.0024821	0.059726	0.13362	-0.0018843	-0.088378	-0.21858	-0.049837	0.16325	-0.13761	-0.2549	-0.035971	-0.11057	-0.10542	-0.15179	-0.14853	
Lightgreen	Fill diamond	Stick_Calendar   	SHR	0.30565	0.22844	-0.11564	-0.10666	0.00049051	0.0016558	-0.13794	0.011192	-0.098633	-0.056566	-0.10093	0.025207	0.031924	0.033898	-0.033302	-0.077749	0.0048799	-0.015277	-0.056243	0.0030748	-0.021753	0.02879	-0.027365	0.029978	-0.0053366	0.0063837	-0.0083527	-0.010333	-0.0084189	-0.082599	0.076859	-0.044962	-0.09028	-0.16387	-0.013559	0.12301	0.26886	-0.1019	-0.039735	0.047038	0.24671	0.13362	-0.0018843	-0.07554	-0.067163	-0.054499	0.022612	-0.3345	0.056853	-0.25767	0.10405	0.12206	-0.24666	0.41547	
Lightgreen	Fill diamond	Nikolsburg       	SHR	0.24043	0.23221	-0.097758	-0.15635	-0.13452	-0.049396	-0.075142	-0.063092	-0.020671	-0.02856	-0.051203	-0.0028429	-0.0022216	0.00756	-0.049206	-0.062942	-0.040899	0.029783	-0.035208	0.015608	0.026827	-0.038098	-0.019168	-0.020977	-0.028781	-0.0086709	0.038131	0.037021	-0.00093392	-0.10902	0.022191	-0.06659	0.032612	0.044106	-0.1613	-0.021624	0.030255	-0.17833	0.21322	-0.12828	-0.042007	0.13362	-0.0018843	0.19003	-0.40648	0.19496	0.079535	0.23503	-0.13782	0.053235	-0.08265	-0.13316	0.01834	0.0087989	
Lightgreen	Fill diamond	Csikszentmihaly  	SHR	0.2687	0.25113	-0.030713	-0.08223	-0.10422	-0.082649	-0.047082	0.0086529	0.042986	-0.025157	0.0051874	0.0048322	-0.0087894	-0.098447	-0.0051761	0.029576	-0.11705	-0.023422	-0.10096	-0.074505	0.021222	0.032476	-0.02061	0.0121	0.061139	-0.013777	-0.015002	0.0041572	0.011378	-0.028314	-0.032099	-0.14087	-0.16419	0.28688	-0.2586	-0.049147	0.040928	0.042878	0.016502	-0.17771	-0.051353	0.13362	-0.0018843	-0.12296	0.19054	-0.071996	0.10879	0.035956	-0.026466	-0.39647	0.046201	0.0011069	0.028187	-0.087828	
Lightgreen	Fill diamond	Constantinople   	SHR	0.25426	0.18805	-0.02848	-0.13106	-0.033928	-0.063473	-0.18248	-0.0012968	-0.027315	0.077892	-0.040009	-0.13974	0.060311	-0.15081	0.11287	0.15525	0.012589	-0.14787	0.0684	-0.0039195	0.033978	0.022146	0.0065297	0.030924	0.011509	0.038228	0.0045817	0.0090218	-0.002728	-0.00057459	0.057932	0.27159	0.036928	0.045815	0.14025	0.062848	-0.10709	-0.012804	-0.41476	-0.048229	-0.029577	0.13362	-0.0018843	0.067654	-0.12724	0.098973	0.047601	0.033396	-0.086849	-0.020767	-0.01123	-0.011213	0.087784	0.036811	
Lightgreen	Fill diamond	Bodrog_Alsobu    	SHR	-0.021183	0.40678	0.094193	0.020044	0.34975	-0.054517	0.23487	-0.10372	0.18469	0.060441	-0.074677	0.16184	-0.16305	0.071423	-0.023108	-0.078403	0.017756	0.045726	-0.035825	-0.02227	0.043525	0.075055	-0.015725	0.015018	-0.0043191	0.011385	-0.012413	-0.016002	-0.0021363	0.10883	0.047138	-0.028429	0.12063	0.19226	0.062215	0.034673	0.21005	-0.22641	-0.073245	0.13493	-0.12351	0.13362	-0.0018843	0.2033	-0.095118	0.063437	-0.050535	0.07709	-0.33913	0.024592	0.15235	-0.14273	0.32726	0.123	
Lightgreen	Fill diamond	Szekelyderzs     	SHR	0.2094	0.37497	-0.23452	0.11915	-0.0093093	0.18625	0.13318	0.12481	-0.040653	-0.04839	-0.098992	0.005035	-0.0048107	0.073424	-0.093027	-0.18186	-0.025505	-0.063644	0.078427	0.083169	0.068031	-0.012636	0.02015	-0.040739	0.028634	0.034803	0.017089	-0.0016496	-0.0029043	-0.011208	0.0019224	0.14213	-0.028047	-0.037088	0.073935	-0.023045	0.012402	0.26026	-0.083545	-0.093583	0.25539	0.13362	-0.0018843	-0.19271	-0.034627	0.12091	0.0975	0.24292	0.21407	-0.15639	-0.044138	0.0023923	0.1363	-0.1419	
Lightgreen	Fill diamond	Bagy             	SHR	0.15977	0.38373	-0.098756	-0.0033722	0.18366	0.019264	0.20048	-0.10844	0.16877	0.02668	0.10296	-0.0037958	0.0056075	-0.18804	0.11998	-0.071276	-0.11724	-0.063225	-0.082696	0.012408	0.026983	-0.02253	0.027536	-0.0071634	-0.034202	0.0047635	0.016921	0.012536	-0.0050919	-0.26772	-0.071023	0.11245	-0.013546	-0.16715	-0.048634	0.060841	-0.18779	0.051472	0.14674	-0.014526	0.031445	0.13362	-0.0018843	-0.0042382	0.078746	0.010598	-0.042418	-0.15985	0.062125	0.14234	-0.13587	0.11756	-0.28404	0.016066	
Lightgreen	Fill diamond	Szamoskozy       	SHR	0.26595	0.35617	-0.23704	-0.050217	0.011625	0.061497	0.051603	0.069034	0.011832	0.076512	0.071248	-0.094952	-0.065465	0.0075597	-0.012061	0.015417	0.081159	0.055008	-0.0088884	0.076912	-0.03057	-0.032391	-0.027096	-0.0063378	0.05553	-0.0287	0.0060315	-0.0015494	0.0053684	0.099828	-0.15767	-0.10024	-0.14492	0.047696	0.026392	-0.14622	-0.25473	0.20422	0.011408	-0.1132	-0.38684	0.13362	-0.0018843	-0.022034	0.093551	-0.047088	0.031807	-0.031613	0.037354	0.11569	0.21848	0.055573	-0.13014	0.2737	
Lightgreen	Fill diamond	Wolfenbuttel     	SHR	0.3516	0.29995	-0.066202	0.050607	0.034296	0.013403	-0.06082	0.050223	-0.016944	0.022475	-0.044506	0.051532	0.031615	0.017738	0.057225	0.14183	0.036062	0.064026	-0.074558	-0.034728	-0.057131	0.024636	0.0070577	0.042308	-0.087318	0.015494	0.00082122	0.010681	-0.0062607	0.013339	0.047933	0.067146	-0.12658	-0.17767	0.0065046	-0.13968	-0.063483	0.044028	0.11531	-0.0044816	0.075365	0.13362	-0.0018843	-0.1204	-0.015183	0.017574	-0.097345	0.1839	0.30656	-0.043296	0.0072526	-0.31809	0.22907	0.072145	
Lightgreen	Fill diamond	Rudimenta        	SHR	0.24978	0.24336	-0.13019	-0.14052	-0.13476	-0.025261	-0.086715	-0.056259	-0.057938	0.0098554	0.010262	-0.01478	0.017379	0.010144	0.025309	0.0025809	0.038023	0.0064623	-0.043779	0.012556	-0.0014995	0.024289	0.020118	0.0039185	0.0035251	0.0055587	-0.0069273	-0.017511	-0.00082836	0.051953	-0.013533	0.057815	0.096405	-0.031767	0.07944	-0.013628	0.048392	-0.075588	0.09593	0.036935	0.0081725	0.12365	-0.70892	-0.032342	0.13528	-0.1058	-0.065092	0.048857	-0.066683	0.2196	0.051862	0.11082	0.033642	-0.20962	
Lightgreen	Fill diamond	Farkaslaki       	SHR	0.20202	0.30834	0.023751	0.14757	-0.27119	0.064565	-0.048553	-0.13917	0.13323	0.010448	0.10035	0.15623	-0.0020426	0.034686	-0.06839	0.048293	-0.052299	-0.0092562	0.081175	-0.069725	-0.02965	-0.052547	-0.0033269	-0.004893	0.0091059	0.022408	0.022286	-0.019102	-0.0087071	0.084519	0.25828	0.23633	0.20649	0.21038	-0.20407	-0.12085	-0.011661	-0.095505	-0.088007	-0.12041	0.068849	0.13362	-0.0018843	-0.051769	-0.071337	0.015839	-0.26082	-0.052981	0.12044	0.016186	0.058894	0.033432	-0.23843	-0.066869	
Lightgreen	Fill diamond	Bonyhai          	SHR	0.27169	0.37023	-0.042109	0.057567	0.063531	0.10861	-0.023479	0.068598	-0.11633	0.026512	-0.012997	-0.0024799	-0.048523	0.026003	-0.025889	0.0040797	0.038364	-0.10405	0.053989	-0.088797	0.010707	-0.011158	-0.075058	0.018447	-0.042678	-0.009716	-0.013836	0.0035015	0.020544	0.19737	0.0035532	-0.29526	-0.11575	-0.061176	-0.12859	0.0030782	0.30002	-0.03346	-0.049224	0.1458	-0.10918	0.13362	-0.0018843	-0.021236	-0.080445	-0.18351	0.10276	0.1138	-0.06662	0.2275	-0.12282	0.13765	0.052475	-0.081964	
Lightgreen	Fill diamond	Kajoni-Ancient   	SHR	0.24067	0.42342	-0.15474	0.060223	-0.072742	-0.12696	0.089195	-0.044996	-0.10205	-0.030063	-0.071275	0.065483	0.090456	0.074401	0.013395	0.10978	0.085461	0.056436	0.085206	0.00059516	-0.021971	-0.00022776	0.05008	-0.017414	0.010178	0.0020594	-0.029676	0.015888	0.0039096	0.028236	-0.089024	0.051679	0.21468	-0.063402	0.15751	0.11439	-0.026588	0.11463	0.21898	-0.015473	0.037831	0.13362	-0.0018843	0.23623	0.056318	0.26979	0.012524	-0.11711	-0.14733	-0.25891	-0.12136	-0.17459	-0.21991	-0.044378	
Lightgreen	Fill diamond	Bel              	SHR	0.24978	0.24336	-0.13019	-0.14052	-0.13476	-0.025261	-0.086715	-0.056259	-0.057938	0.0098554	0.010262	-0.01478	0.017379	0.010144	0.025309	0.0025809	0.038023	0.0064623	-0.043779	0.012556	-0.0014995	0.024289	0.020118	0.0039185	0.0035251	0.0055587	-0.0069273	-0.017511	-0.00082836	0.051953	-0.013533	0.057815	0.096405	-0.031767	0.07944	-0.013628	0.048392	-0.075588	0.09593	0.036935	0.0081725	0.14359	0.70515	-0.032342	0.13528	-0.1058	-0.065092	0.048857	-0.066683	0.2196	0.051862	0.11082	0.033642	-0.20962	
Lightgreen	Fill diamond	Patakfalvi       	SHR	0.31847	0.23702	-0.073501	-0.074582	-0.010402	0.0030421	-0.095127	0.034084	0.097178	-0.01696	-0.037915	0.038392	0.0068386	-0.051391	-0.06103	-0.02911	-0.015126	0.076274	0.077634	-0.016542	-0.10115	-0.014719	0.029813	-0.078328	0.0034046	-0.07274	-0.022811	-0.016218	-0.0010662	-0.15184	-0.15482	-0.22067	-0.015033	-0.021326	0.068889	0.19079	-0.26077	-0.068037	-0.34812	0.19639	-0.01694	0.13362	-0.0018843	0.091582	0.066662	0.020666	0.01047	-0.19659	0.10236	0.08109	-0.14158	0.085361	0.2689	-0.085014	
Orange	Fill square	Ozora_Totipuszta 	CBR	-0.18337	0.086481	0.4878	0.13451	-0.33018	-0.029697	-0.036731	0.057688	-0.085209	-0.13786	0.13482	0.038731	0.029998	0.0027429	0.021451	0.049592	0.012566	-0.0013501	-0.043086	0.039252	0.048344	0.037712	-0.018086	-0.087768	-0.035203	0.0041503	0.00040498	0.00072191	0.0049859	0.15169	-0.33001	0.013142	0.057604	0.025307	-0.079343	0.13307	0.11422	-0.042861	-0.042958	-0.012042	-0.028005	0.13362	-0.0018843	0.19288	-0.1938	0.12693	-0.068171	-0.11076	0.17035	-0.011703	0.3303	0.12779	0.18378	0.27288	
Orange	Fill square	Janoshida        	CBR	-0.35651	-0.084472	-0.17587	0.40984	0.075414	0.018038	-0.045012	-0.18396	-0.0069352	-0.20417	-0.15125	-0.31522	-0.15725	-0.11872	0.0019735	0.019967	0.041186	0.045521	0.0037238	-0.043382	-0.052566	0.026216	0.0045651	-0.021951	-0.021204	-0.0022553	-0.004104	-0.0098765	-0.0057223	-0.047934	-0.054478	0.24244	-0.10048	0.0045154	-0.11003	-0.036554	0.17211	0.13802	-0.044669	-0.044541	-0.092201	0.13362	-0.0018843	0.2029	-0.13789	0.069244	0.29235	0.074132	0.014566	0.14602	-0.012785	0.1339	-0.09091	-0.055497	
Orange	Fill square	Kiskoros-Vagohid 	CBR	-0.36862	0.042374	-0.066045	0.38923	-0.27504	-0.30079	0.014466	-0.14818	-0.006999	-0.050105	0.12613	0.115	-0.065361	-0.02793	-0.16266	0.086264	-0.0043389	-0.10395	-0.046808	0.076236	-0.01542	-0.0038473	-0.003708	0.011871	0.014382	0.0026363	0.010693	-0.0068086	-0.0047678	-0.12453	0.094607	-0.16305	-0.19651	-0.22354	0.12665	-0.12247	-0.08414	-0.06344	0.029905	0.1802	-0.0040635	0.13362	-0.0018843	-0.14547	0.38833	0.0015938	0.22267	0.089645	-0.095183	-0.041161	-0.26174	-0.033655	0.17034	0.21942	
Orange	Fill square	Kornye           	CBR	-0.34456	0.15128	0.35385	-0.13127	-0.010752	-0.097483	0.33941	-0.097715	-0.13373	0.068812	0.020201	0.017493	0.0074662	0.028083	0.00079846	0.086173	0.0071073	0.076769	0.011191	0.028637	-0.0079831	0.041934	-0.0061441	0.028448	0.044292	-0.013597	-0.0044349	0.0029493	0.0013668	-0.11175	-0.0080141	-0.080615	-0.21425	0.044924	-0.06946	0.27171	-0.020524	0.06939	-0.22189	-0.33789	0.17948	0.13362	-0.0018843	-0.25308	-0.2134	0.074857	0.037239	0.10799	0.27918	0.26995	-0.024868	-0.071417	-0.19601	-0.083191	
Orange	Fill square	Szarvas          	CBR	-0.2536	0.0512	0.18082	-0.18893	0.054472	-0.14591	-0.15574	-0.013494	-0.042082	-0.044667	-0.34286	-0.020114	-0.12846	-0.093347	0.010595	-0.046255	0.048063	0.01413	-0.02054	0.077726	-0.039698	-0.062102	-0.011232	-0.016869	0.047656	-0.0088135	0.033552	-0.0047479	-0.0045479	-0.026208	0.11162	0.13318	0.15235	-0.093522	0.038836	0.18326	0.044079	-0.096015	0.042423	0.034989	0.080324	0.13362	-0.0018843	-0.20891	-0.012348	-0.10937	-0.18257	0.044566	-0.0082419	-0.074544	0.0131	-0.10144	0.06552	0.029511	
Orange	Fill square	Kiskundorozsma   	CBR	-0.38059	0.058758	0.11884	-0.24021	-0.25445	-0.25603	0.14349	0.0017178	0.17231	0.04413	-0.24215	0.022581	-0.039869	0.026663	-0.13536	-0.036802	-0.0034269	-0.0089841	0.056491	-0.048662	0.06528	0.080132	0.0025538	0.04101	-0.039117	-0.00453	-0.0078108	0.0079781	-0.0027329	-0.039909	-0.14294	0.051939	0.021165	-0.091399	-0.015209	-0.22516	-0.07004	0.20739	0.064093	0.064869	-0.13167	0.13362	-0.0018843	0.12107	0.12735	-0.14168	0.062848	-0.16719	0.076756	0.03185	0.081816	0.12823	-0.043957	-0.070508	
