:			Group	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	
Lightgreen	Fill diamond	Bodrog_Alsobu    	SHR	-0.088078	-0.33672	0.10813	0.059371	-0.31582	0.12204	0.12684	0.33265	0.12126	0.1488	0.084193	0.051737	0.12698	-0.057173	-0.062503	0.005406	0.032814	0.084587	0.013425	-0.016989	-0.079706	0.014593	0.027429	0.035525	-0.021147	-0.019747	0.020333	0.0010027	0.04329	0.0051798	-0.0033788	0.0049198	-0.0084772	0.002907	0	
Lightgreen	Fill diamond	Szekelyderzs     	SHR	-0.22467	-0.24337	-0.13841	-0.061218	-0.2941	0.0045643	0.16639	-0.15631	-0.15939	-0.021562	0.020083	0.10484	0.016874	0.070348	-0.096132	0.13567	0.2083	0.067113	0.074474	0.048372	0.046091	-0.066394	0.043266	0.026897	-0.022893	0.019364	-0.037721	-0.026516	-0.0091596	-0.022094	-0.0089794	0.0051128	0.0033397	0.00058286	0	
Lightgreen	Fill diamond	Bagy             	SHR	-0.25209	-0.33998	-0.095185	0.04395	-0.19161	0.029138	0.25213	0.030966	0.12426	0.074563	0.074617	-0.15949	-0.14962	-0.088996	0.11981	0.098263	0.032192	0.033524	-0.06251	-0.036519	-0.030923	0.039099	0.021415	0.022109	-0.033284	-0.010037	0.019786	0.018664	-0.020877	-0.0084124	-0.012622	-0.0099279	0.0020359	-0.0025809	0	
Lightgreen	Fill diamond	Szamoskozy       	SHR	-0.36307	-0.31859	-0.13885	0.018862	0.0122	0.011832	0.017906	-0.041484	-0.067696	-0.029907	0.070495	-0.058302	0.089361	0.0035531	-0.0033175	-0.047939	-0.045782	0.0078041	0.06699	0.032754	0.035478	0.036968	0.017489	0.02561	-0.0078904	0.044666	-0.043611	-0.017296	0.0069345	0.032607	0.034468	-0.0051801	-0.002559	0.002042	0	
Lightgreen	Fill diamond	Wolfenbuttel     	SHR	-0.39865	-0.25476	-0.033578	-0.036149	0.027242	0.049792	-0.045864	0.0012105	-0.031947	-0.00048849	0.010175	0.035732	0.010832	-0.0020423	0.0023797	-0.039343	-0.11803	-0.075023	-0.02879	-0.032651	-0.041883	0.062212	0.022823	0.0062578	0.04061	-0.095012	0.041794	-0.018446	-0.0034202	-0.015967	0.0068314	-0.002787	0.01131	-0.0017934	0	
Lightgreen	Fill diamond	Rudimenta        	SHR	-0.3342	-0.2441	-0.10216	0.083955	0.11244	-0.083005	-0.096011	-0.041717	0.02749	-0.046523	-0.041841	0.017025	0.010052	0.031115	0.0044731	-0.018126	-0.020109	-0.02535	0.034944	-0.014575	-0.022757	0.017571	-0.013724	0.051471	0.0065252	-0.025415	0.002555	0.013568	0.018826	-0.011616	-0.021357	0.0068506	-0.01754	0.016875	0	
Lightgreen	Fill diamond	Farkaslaki       	SHR	-0.32046	-0.26336	0.060101	-0.087158	-0.045691	-0.12334	-0.13528	-0.081911	0.11664	0.040273	-0.032952	-0.051155	0.12647	0.061828	-0.051337	0.011889	-0.020611	0.059929	-0.15204	0.0043341	0.03491	-0.045155	0.1104	-1.9538E-05	-0.052231	-0.001277	-0.0026931	-0.010969	-0.010053	-0.0098556	-0.0049031	-0.0053838	-0.0081192	-0.0010232	0	
Lightgreen	Fill diamond	Bonyhai          	SHR	-0.3541	-0.34745	-0.033322	-0.0048794	-0.080018	0.067475	-0.015801	-0.014597	-0.057116	-0.071106	0.017068	0.05125	0.032312	-0.047609	0.035265	-0.069225	0.071484	-0.083943	-0.037851	0.057963	0.030418	-0.037466	0.00048763	-0.054354	0.054274	-0.023155	0.061049	0.036749	-0.023747	0.014694	0.0015737	0.020267	0.001841	-0.0010487	0	
Lightgreen	Fill diamond	Kajoni-Ancient   	SHR	-0.35709	-0.38641	-0.10155	-0.029854	-0.046727	-0.12708	0.041139	0.0342	0.02131	-0.022551	-0.085371	0.088722	0.0024007	0.037102	-0.054974	-0.054682	-0.097624	-0.06137	0.056938	0.029457	0.025307	-0.0083162	0.00075835	-0.093444	-0.010189	0.0035755	-0.0046854	-0.018106	0.011384	-0.0078065	-0.0077302	0.00064207	-0.0042981	-0.0021906	0	
Lightgreen	Fill diamond	Bel              	SHR	-0.33466	-0.24149	-0.096402	0.08344	0.10693	-0.079807	-0.089029	-0.039848	0.025247	-0.045491	-0.037783	0.0097351	0.014197	0.024191	-0.0012163	-0.017843	-0.012018	-0.010908	0.031761	-0.0050233	-0.016854	0.0061978	0.00069931	0.044159	-0.013389	-0.0005659	0.0080125	-0.021024	0.039228	0.0075987	-0.02719	0.041048	0.01577	-0.016883	0	
Lightgreen	Fill diamond	Patakfalvi       	SHR	-0.37459	-0.22961	-0.071893	0.043795	0.068797	-0.011291	-0.091136	-0.01165	0.002906	0.064781	0.0099302	0.018179	0.0089488	0.058087	0.018568	-0.045006	-0.04501	0.041753	-0.058591	0.079857	0.015946	0.048326	-0.034398	-0.10433	-0.072943	0.056868	-0.011345	-0.013481	0.014074	0.019245	-0.023485	-0.0033291	0.0037062	0.0024409	0	
Orange	Fill square	Ozora_Totipuszta 	CBR	0.13147	-0.018582	0.52498	-0.17012	0.12667	-0.14096	-0.065503	-0.11148	-0.064808	0.0023452	-0.088928	-0.14216	0.026943	0.050027	-0.02961	0.085397	-0.031331	-0.02742	0.046114	-0.030731	-0.0597	0.010443	0.061704	-0.027717	-0.036942	-0.027186	-0.032613	0.033797	-0.011004	0.0041267	-0.0037738	0.0071813	0.0040182	-0.00099885	0	
Orange	Fill square	Janoshida        	CBR	0.2479	-0.078187	-0.058385	-0.32351	0.27305	0.14966	0.26526	-0.18595	0.056161	0.16126	-0.035082	0.062424	0.089695	-0.1032	0.1817	-0.10132	-0.044713	0.032099	0.016979	-0.021448	-0.025975	-0.021389	-0.0051153	-0.01671	-0.011115	-0.016032	-0.0068112	-0.012566	0.017091	0.013073	-0.00098819	-0.01954	-0.0027778	-0.00094084	0	
Orange	Fill square	Kiskoros-Vagohid 	CBR	0.31063	-0.12073	0.0061101	-0.43219	-0.013321	-0.37295	-0.026653	0.12402	0.10468	0.010364	-0.18571	-0.10779	0.13248	0.019269	0.048161	0.056366	0.10135	-0.05074	-0.015619	-0.081531	0.073617	0.026325	-0.012288	-0.017962	0.032232	0.0022327	-0.0034956	-0.01636	0.0062745	-0.010236	-0.0021463	0.006462	-0.0010251	0.0020512	0	
Orange	Fill square	Kornye           	CBR	0.31813	-0.15535	0.3656	0.16493	-0.12843	-0.16655	0.18715	0.22735	0.061607	-0.15298	-0.055851	-0.039641	0.041493	0.080247	-0.029899	0.0012738	-0.11795	-0.053838	0.05666	0.032048	-0.026514	0.0041106	-0.043877	0.014123	0.02046	0.02438	0.0033388	-0.0078087	-0.0068984	0.003934	-0.0050843	-0.013492	-6.4858E-05	-0.00075055	0	
Orange	Fill square	Szarvas          	CBR	0.23684	-0.10414	0.1325	0.12596	0.29817	0.085419	0.07631	0.045296	0.02985	0.13182	0.0349	0.22057	-0.02674	-0.0019568	0.14365	0.054546	0.042206	-0.013792	0.070323	0.02496	0.0056956	0.089955	0.037185	0.0117	-0.0081468	0.078659	-0.028026	-0.021031	-0.011121	-0.0060444	-0.013852	0.012433	-0.0028198	-0.0013029	0	
Orange	Fill square	Kiskundorozsma   	CBR	0.37327	-0.12875	0.11978	0.15451	0.10326	-0.34212	0.1022	0.1386	0.042407	0.21231	0.10831	0.20601	0.051697	0.12855	-0.009767	-0.02954	0.050658	0.017665	-0.021104	0.034317	-0.051326	-0.11091	-0.025103	0.019522	0.020933	-0.047266	-0.0001557	0.011575	0.0016982	-0.0011541	0.014627	-0.0091521	0.0080718	-0.00014511	0	
Orange	Fill square	Nagyszentmiklos  	CBR	0.38333	-0.038856	-0.029241	0.15572	0.19348	0.14443	0.09486	0.11142	-0.023401	0.22545	-0.025871	0.058381	0.013681	0.05565	-0.033818	0.037791	-0.097614	0.089102	0.019686	-0.040747	0.17926	0.0372	0.043014	-0.028057	0.016074	-0.028517	0.027694	0.0033349	-0.024571	-0.021003	0.0066722	0.0087508	0.004719	-0.00057405	0	
Violet	Fill triang	Jitkov           	SR	0.29028	0.048858	0.027114	-0.032784	0.094853	0.15557	-0.13737	0.072097	-0.034135	-0.13038	-0.036234	-0.074785	0.011391	0.168	0.14242	0.019456	0.098261	0.010273	0.013017	0.091503	0.023354	0.038779	0.12793	0.043617	-0.0062379	0.017563	0.08122	0.0061254	0.015899	0.01272	0.0037663	-0.022098	-0.00056652	-0.00057535	0	
Violet	Fill triang	Achik_Tash       	SR	0.3848	-0.12907	-0.09059	0.17953	0.061756	0.02639	0.032176	-0.11851	-0.075206	-0.15594	-0.16702	-0.0050231	-0.15926	0.13798	-0.14691	0.014897	0.026466	0.1387	0.059471	-0.15842	0.031475	-0.021119	-0.039603	-0.021396	-0.036983	-0.019105	0.023641	-0.002967	0.009111	0.011529	-0.0085952	-0.0011656	-0.003715	-0.00078696	0	
Violet	Fill triang	Mayaki           	SR	0.33737	-0.067267	0.23444	0.30425	-0.13095	-0.013811	-0.12726	-0.16554	0.057111	0.03707	0.18824	-0.055897	0.032354	-0.10541	-0.025753	0.10822	-0.044695	-0.10437	-0.079409	-0.025218	0.062047	0.074978	-0.021907	-0.085746	-0.029606	0.0052696	-0.037429	-0.0045557	0.024918	-0.0021042	0.0074839	-0.0038693	-0.0047357	-0.00021645	0	
Violet	Fill triang	Mayatskoe_1      	SR	0.48757	-0.041373	-0.24322	-0.061325	-0.024108	0.05265	-0.14287	0.085727	0.013207	0.1048	0.049711	-0.015788	-0.20069	0.19249	-0.11877	-0.040582	0.019998	-0.1273	-0.077943	0.029405	0.018338	-0.024359	-0.077911	-0.0018623	-0.011648	0.01292	0.015874	-0.010911	0.015297	0.0045033	0.00556	-0.015219	-0.00083081	-0.0013511	0	
Violet	Fill triang	Mayatskoe_2      	SR	0.30564	-0.23367	-0.040683	0.12035	0.039519	-0.27047	0.17926	-0.28943	0.077408	-0.032931	0.026502	-0.19819	0.016332	-0.17334	-2.664E-05	-0.057752	0.050143	0.020569	0.042482	0.057086	0.00041813	-0.031429	-0.03064	0.003048	0.018325	0.03807	0.059707	0.005269	-0.020441	0.017109	0.0014117	-0.011287	0.0013164	-0.0014389	0	
Violet	Fill triang	Mayatskoe_5      	SR	0.32643	-0.12267	-0.21514	-0.17411	-0.31171	0.19427	-0.064272	-0.10753	-8.6501E-05	0.30364	-0.24755	-0.058678	0.011903	-0.048312	-0.029724	-0.05936	-0.044006	-0.049291	-0.010303	-0.046167	-0.005554	0.0072022	-0.044468	0.052633	0.014105	0.031428	0.0014453	0.012764	0.0038887	-0.012706	-0.00078372	0.012024	0.001992	0.0015222	0	
Violet	Fill triang	Mayatskoe_10     	SR	0.2583	-0.038997	-0.07001	0.12465	-0.016639	0.21578	0.0018415	-0.11694	0.023181	-0.16065	0.016655	0.0084152	0.12409	0.013755	0.057321	0.13848	-0.13723	0.059249	-0.060857	-0.069314	-0.073367	-0.0558	0.01406	0.010948	-0.016535	-0.0072211	0.027273	0.0065889	0.00080464	-0.0098262	0.010834	0.013187	0.0020649	0.0032257	0	
Violet	Fill triang	Khumara_6        	SR	0.38579	-0.19311	-0.078064	0.091286	0.14626	-0.026869	-0.020003	0.074292	-0.20153	-0.19172	-0.052025	-0.055032	-0.040586	-0.1632	0.031215	-0.021655	-0.013152	-0.011713	0.063983	0.030296	-0.0071832	-0.023554	0.030952	-0.010805	-0.0024816	-0.027558	0.013633	-0.0197	0.05597	-0.018091	0.0075468	0.018837	-0.0033137	0.0052323	0	
Violet	Fill triang	Khumara_7        	SR	0.39954	-0.15153	-0.066731	-0.20223	0.10918	-0.14561	-0.021148	0.13808	-0.18898	-0.20276	0.029407	0.10515	-0.10741	-0.14423	-0.054508	-0.11182	-0.052946	0.082835	-0.17307	-0.0021709	-0.022214	0.040108	0.040824	0.070082	-0.0068375	0.042308	-0.032244	-0.0035266	-0.02999	-0.010715	-0.011477	-0.0017866	-0.0013539	-0.00071165	0	
Violet	Fill triang	Khumara_8        	SR	0.48284	0.00096142	-0.17011	0.18821	-0.010168	0.056855	-0.053004	-0.11878	-0.16296	0.1323	-0.16455	-0.018498	0.076466	-0.088034	0.0083733	0.039858	0.028873	-0.068494	0.0047809	0.11265	-0.051168	-0.054409	0.0050436	-0.035385	0.0024249	-0.031108	-0.032015	-0.0011032	-0.0046807	0.0056142	0.0022133	-0.0025522	-0.0022001	-0.00060364	0	
Violet	Fill triang	Kermen_Tolga     	SR	0.43408	-0.022402	-0.038101	0.030331	-0.003954	0.1289	-0.015229	-0.10881	0.080587	-0.17202	0.13781	0.19517	0.14263	-0.044435	-0.0788	-0.073212	0.15108	-0.024406	-0.12072	-0.072921	-0.038896	0.021407	0.004103	-0.042399	0.034652	-0.0093415	-0.0029131	0.010451	-0.010374	0.012868	-0.0091323	0.004467	0.0019272	-0.00018487	0	
Violet	Fill triang	Novocherkassk    	SR	0.4011	-0.050807	-0.27531	0.050289	-0.17949	-0.023928	-0.10634	-0.014154	0.094771	-0.063901	0.25556	-0.05837	0.06664	0.037847	-0.028426	-0.047951	-0.073332	-0.095554	0.12355	-0.040977	0.039278	0.0099005	0.054434	0.088663	-0.020645	0.000849	-0.038774	-0.0052163	-0.028284	0.021052	-0.002638	-0.0021837	0.0022218	-0.00053251	0	
Violet	Fill triang	Homokmegy_Halom  	SR	-0.029128	-0.13898	0.072041	-0.1716	0.20995	0.2193	0.36803	0.058341	0.094292	-0.035143	0.07177	-0.20875	-0.18438	0.044166	-0.20584	0.0019165	0.032631	-0.029668	-0.041789	0.089038	-0.030665	0.043158	-0.0040724	-0.035343	0.00098389	-0.020721	-0.026041	-0.0032603	-0.001873	-0.0074668	0.0067088	0.017473	-0.0011928	0.0017425	0	
Violet	Fill triang	Algyo            	SR	0.34603	-0.062845	-0.2309	-0.4367	-0.10547	0.043008	-0.20595	0.12292	0.12789	-0.12578	0.15532	0.039036	-0.060225	0.034069	0.14115	0.1329	-0.046928	0.074344	0.092836	0.056747	-0.058014	0.0035374	-0.068823	-0.071368	-0.010426	-0.017895	-0.018442	0.015362	-0.0060272	-0.003847	0.0043652	0.0069455	0.00093129	-0.0020307	0	
Violet	Fill triang	Kievan_Letter    	SR	0.18669	0.015497	0.35944	0.092526	-0.36099	0.045881	-0.034811	-0.12875	-0.10127	-0.0010284	-0.13944	0.032684	-0.10539	0.11584	0.1334	-0.086119	-0.040531	0.016437	-0.046709	0.11284	-0.033326	0.06845	-0.029805	0.064511	0.012054	-0.0014401	0.00442	0.0099011	-0.0072351	-0.0053135	-0.010064	0.0081121	-0.00081919	-0.00088391	0	
